cbsa_code,TimePeriod,DataValue,cbsa_title
16980,2023,427566643,"Chicago-Naperville-Elgin, IL-IN"
26420,2023,429677330,"Houston-Pasadena-The Woodlands, TX"
31080,2023,801967353,"Los Angeles-Long Beach-Anaheim, CA"
35620,2023,797092203,"New York-Newark-Jersey City, NY-NJ"
38060,2023,311303699,"Phoenix-Mesa-Chandler, AZ"
