cbsa_code,TimePeriod,DataValue,cbsa_title
16980,2023,396470899,"Chicago-Naperville-Elgin, IL-IN"
26420,2023,357130669,"Houston-Pasadena-The Woodlands, TX"
31080,2023,756659481,"Los Angeles-Long Beach-Anaheim, CA"
35620,2023,343437442,"New York-Newark-Jersey City, NY-NJ"
38060,2023,312350417,"Phoenix-Mesa-Chandler, AZ"
